date,soi,oni,nino3,pna
199103,-0.7,0.2,0,-1.21
199104,-0.6,0.3,-0.09,0.38
199105,-1,0.5,0.37,-0.63
199106,-0.1,0.6,0.68,-0.92
199107,0,0.7,0.74,0.28
199108,-0.4,0.6,0.29,-0.28
199109,-1.5,0.6,0.1,1.15
199110,-1,0.8,0.64,-2.35
199111,-0.7,1.2,1.03,0.22
199112,-1.8,1.5,1.32,0.17
199201,-2.9,1.7,1.39,0.99
199202,-0.9,1.6,1.21,0.09
199203,-2,1.5,1.19,0.46
199204,-1,1.3,1.32,-0.29
199205,0.3,1.1,1.38,1.2
199206,-0.6,0.7,0.45,1.36
199207,-0.6,0.4,-0.01,0.38
199208,0.4,0.1,-0.35,-0.37
199209,0.1,-0.1,-0.35,-1.13
199210,-1.4,-0.2,-0.34,0.4
199211,-0.7,-0.3,-0.29,0.8
199212,-0.6,-0.1,-0.26,-1.53
199301,-0.9,0.1,-0.06,-1.48
199302,-0.7,0.3,0.24,0.44
199303,-0.5,0.5,0.36,0.94
199304,-1.2,0.7,0.92,1.26
199305,-0.3,0.7,1.05,2.43
199306,-0.8,0.6,0.63,0.66
199307,-0.8,0.3,0.13,-0.28
199308,-0.9,0.3,0.01,-0.17
199309,-0.7,0.2,0.09,-0.97
199310,-1.1,0.1,0.21,-0.17
199311,-0.1,0,0.11,-0.35
199312,0.2,0.1,0,0.42
199401,-0.1,0.1,-0.04,-0.8
199402,0.3,0.1,-0.29,-1.27
199403,-0.7,0.2,-0.36,0.23
199404,-1.3,0.3,-0.43,-0.7
199405,-0.7,0.4,-0.21,0.48
199406,-0.4,0.4,-0.02,-1.36
199407,-1.3,0.4,-0.38,-0.06
199408,-1.2,0.4,-0.19,-1.38
199409,-1.6,0.6,0.01,-2.02
199410,-1.1,0.7,0.62,-0.09
199411,-0.6,1,0.85,-1.61
199412,-1.2,1.1,0.94,0.39
199501,-0.4,1,0.84,0.2
199502,-0.1,0.7,0.58,0.68
199503,0.8,0.5,0.06,0.03
199504,-0.7,0.3,-0.23,0.04
199505,-0.4,0.1,-0.53,0.09
199506,0.1,0,-0.23,0.9
199507,0.4,-0.2,-0.1,-0.74
