SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,Portland,OR,97236.0,159000.0,2.0,1.0,Portland Southeast,861.0,,1973.0,28.0,185.0,267.0,Active,,,RMLS,18494737,N,Y,45.51925886432483,-122.46295893567518
MLS Listing,,Vacant Land,Portland,OR,97266.0,159000.0,,,Portland Southeast,,12196.0,,304.0,,,Active,,,RMLS,17302221,N,Y,45.526687309764775,-122.50991589023523
MLS Listing,,Vacant Land,Portland,OR,97223.0,159900.0,,,Pearl Estates,,10018.0,,112.0,,,Active,,,RMLS,18282855,N,Y,45.47535824621483,-122.74309575378517
MLS Listing,,Condo/Co-op,Portland,OR,97209.0,160000.0,1.0,1.0,Empress Condiminiums,379.0,,1927.0,134.0,422.0,178.0,Active,,,RMLS,18634080,N,Y,45.53183152464237,-122.67860787535764
MLS Listing,,Vacant Land,Portland,OR,97218.0,160000.0,,,Portland Northeast,,5227.0,,104.0,,,Active,,,RMLS,18093057,N,Y,45.5493391922751,-122.6110715077249
MLS Listing,,Vacant Land,Portland,OR,97231.0,160000.0,,,NW Washington Co or Sauvie Island,,8276.0,,413.0,,,Active,,,RMLS,17531744,N,Y,45.59262631054917,-122.76756768945081
MLS Listing,,Condo/Co-op,Portland,OR,97233.0,162000.0,2.0,1.0,David Douglas,772.0,,2001.0,20.0,210.0,314.0,Active,September-23-2018 01:00 PM,September-23-2018 03:00 PM,RMLS,18344773,N,Y,45.49856348559975,-122.55638191440025
MLS Listing,,Condo/Co-op,Portland,OR,97229.0,164900.0,2.0,1.0,NW Washington Co or Sauvie Island,812.0,,1979.0,1.0,203.0,484.0,Active,,,RMLS,18345985,N,Y,45.50666707774536,-122.82669502225464
MLS Listing,,Single Family Residential,Portland,OR,97211.0,165000.0,1.0,1.0,Portland North,,1742.0,,239.0,,500.0,Active,,,RMLS,18534388,N,Y,45.591230584388654,-122.67739141561134
MLS Listing,,Condo/Co-op,Portland,OR,97216.0,165000.0,1.0,1.0,Portland Southeast,720.0,,2008.0,3.0,229.0,140.0,Active,,,RMLS,18386490,N,Y,45.52853674924738,-122.53265735075263
MLS Listing,,Condo/Co-op,Portland,OR,97229.0,167900.0,2.0,1.0,NW Washington Co or Sauvie Island,812.0,,1979.0,85.0,207.0,459.0,Active,,,RMLS,18241546,N,Y,45.52074311668639,-122.8090518833136
MLS Listing,,Vacant Land,Milwaukie,OR,97267.0,169000.0,,,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",,6969.0,,133.0,,,Active,,,RMLS,18367811,N,Y,45.4182355819507,-122.5849747180493
MLS Listing,,Vacant Land,Portland,OR,97206.0,169000.0,,,Portland Southeast,,6098.0,,27.0,,,Active,,,RMLS,18689481,N,Y,45.490342706781476,-122.57188109321852
MLS Listing,,Condo/Co-op,Portland,OR,97201.0,169900.0,0.0,1.0,Cardinell View Lofts,393.0,,1951.0,66.0,432.0,372.0,Active,September-23-2018 12:00 PM,September-23-2018 02:00 PM,RMLS,18495439,N,Y,45.52748487773291,-122.67330472226708
MLS Listing,,Condo/Co-op,Portland,OR,97225.0,169990.0,1.0,1.0,SYLVAN HEIGHTS CONDO,572.0,,1977.0,65.0,297.0,262.0,Active,,,RMLS,18502827,N,Y,45.52291411661227,-122.74187828338773
MLS Listing,,Condo/Co-op,Portland,OR,97220.0,169999.0,2.0,1.0,Portland Northeast,932.0,,1967.0,22.0,182.0,235.0,Active,September-22-2018 12:00 PM,September-22-2018 03:00 PM,RMLS,18286278,N,Y,45.55958599422135,-122.54365650577866
MLS Listing,,Vacant Land,Portland,OR,97219.0,170000.0,,,"Portland West, Raleigh Hills",,6969.0,,51.0,,,Active,,,RMLS,18058957,N,Y,45.48347082773957,-122.66395917226043
MLS Listing,,Condo/Co-op,Portland,OR,97209.0,172000.0,0.0,1.0,Alphabet District,367.0,,1906.0,41.0,469.0,241.0,Active,,,RMLS,18432100,N,Y,45.52554276929528,-122.68650053070472
