SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Portland,OR,97219,373000,3.0,1.0,ASH CREEK,960.0,10454.0,1971.0,65.0,389.0,,Active,,,RMLS,18321322,N,Y,45.496403468752845,-122.70629413124716
MLS Listing,,Single Family Residential,Tigard,OR,97224,499900,4.0,2.5,Arbor Pointe 2,2358.0,5227.0,2009.0,66.0,212.0,119.0,Active,,,RMLS,18489535,N,Y,45.424100095050186,-122.83330810494982
MLS Listing,,Single Family Residential,Portland,OR,97224,764900,5.0,2.5,Burgundy Ridge,3035.0,8276.0,2018.0,66.0,252.0,,Active,,,RMLS,18467134,N,Y,45.402373817995795,-122.84271718200421
MLS Listing,,Single Family Residential,Tigard,OR,97224,509800,3.0,2.0,"Tigard, Tualatin, Sherwood, Wilsonville",2576.0,18730.0,1973.0,68.0,198.0,,Active,September-22-2018 03:00 PM,September-22-2018 05:00 PM,RMLS,18161624,N,Y,45.41277269330017,-122.82389010669985
MLS Listing,,Single Family Residential,Tigard,OR,97224,1150000,5.0,3.5,BULL MOUNTAIN,5467.0,15245.0,2002.0,69.0,210.0,21.0,Active,,,RMLS,18577419,N,Y,45.44385466647738,-122.80558683352263
MLS Listing,,Single Family Residential,Portland,OR,97223,529000,3.0,3.0,"Portland West, Raleigh Hills",3340.0,19166.0,1957.0,69.0,158.0,,Active,,,RMLS,18696323,N,Y,45.486401378373344,-122.73703482162666
MLS Listing,,Single Family Residential,Portland,OR,97223,575000,4.0,2.5,GARDEN HOME - WHITFORD,2389.0,9147.0,1967.0,70.0,241.0,,Active,,,RMLS,18661050,N,Y,45.48312415582872,-122.75244614417127
MLS Listing,,Single Family Residential,Portland,OR,97219,749900,3.0,2.5,"Portland West, Raleigh Hills",2417.0,37026.0,1938.0,75.0,310.0,,Active,,,RMLS,18092020,N,Y,45.45442402442409,-122.7242533755759
MLS Listing,,Single Family Residential,Portland,OR,97219,514000,4.0,3.0,"Portland West, Raleigh Hills",2400.0,9583.0,1966.0,77.0,214.0,,Active,,,RMLS,18568319,N,Y,45.43920232802353,-122.74747717197647
MLS Listing,,Single Family Residential,Tigard,OR,97224,539000,5.0,4.0,Summit Ridge 5,2949.0,5662.0,2016.0,78.0,183.0,,Active,,,RMLS,18225445,N,Y,45.41642299412113,-122.80408290587887
MLS Listing,,Single Family Residential,Portland,OR,97224,575000,3.0,2.5,PARK PLACE ESTATES,2257.0,,2018.0,81.0,255.0,,Active,,,RMLS,18580547,N,Y,45.460008939651864,-122.78718606034815
MLS Listing,,Single Family Residential,Portland,OR,97224,754900,4.0,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",2558.0,8276.0,2018.0,82.0,295.0,,Active,,,RMLS,18291449,N,Y,45.42337898497058,-122.81998101502941
